filename,date,year,month,title,word_count,category,is_repost
2020-10-10_志愿者招募丨公益项目评估电话回访.txt,2020-10-10,2020,10,志愿者招募丨公益项目评估电话回访,933,评估方法,False
2020-11-25_如何借助项目的实施过程，进一步做好需求调研？.txt,2020-11-25,2020,11,如何借助项目的实施过程，进一步做好需求调研？,1939,评估方法,False
2020-11-30_「转」共益创新引领科技价值：技术公益驱动行业信息化建设.txt,2020-11-30,2020,11,「转」共益创新引领科技价值：技术公益驱动行业信息化建设,3822,行业洞察,True
2021-01-06_新的一年，从档案开始：如何真正发挥“档案管理”的作用？.txt,2021-01-06,2021,1,新的一年，从档案开始：如何真正发挥“档案管理”的作用？,2144,评估方法,False
2021-04-07_“三入手、三明确”制定具有针对性的项目档案管理制度——以“儿童福利类项目”为例.txt,2021-04-07,2021,4,“三入手、三明确”制定具有针对性的项目档案管理制度——以“儿童福利类项目”为例,2172,政策动态,False
2021-04-07_多方共聚话评估！4月23日，相约2021年公益行业评估大会.txt,2021-04-07,2021,4,多方共聚话评估！4月23日，相约2021年公益行业评估大会,1514,评估方法,False
2021-04-07_招实习生，长期培养！有意转全职更佳丨评估咨询实习招聘.txt,2021-04-07,2021,4,招实习生，长期培养！有意转全职更佳丨评估咨询实习招聘,1750,评估方法,False
2021-04-28_用评估思维做知识型产品？能学还能玩！邀你来内测！.txt,2021-04-28,2021,4,用评估思维做知识型产品？能学还能玩！邀你来内测！,1369,评估方法,False
2021-07-07_招募项目经理（全职）、内容传播（兼职）丨寻找评估咨询方向的同行者.txt,2021-07-07,2021,7,招募项目经理（全职）、内容传播（兼职）丨寻找评估咨询方向的同行者,2735,评估方法,False
2021-07-08_「转」课程推荐 ｜ 仅剩一周：监测评估训练营招募即将截止.txt,2021-07-08,2021,7,「转」课程推荐 ｜ 仅剩一周：监测评估训练营招募即将截止,1571,评估方法,True
2021-07-08_和盘托出！一场在“玩中学”的逻辑模型工作坊，怎么做到开脑不烧脑？.txt,2021-07-08,2021,7,和盘托出！一场在“玩中学”的逻辑模型工作坊，怎么做到开脑不烧脑？,2894,评估方法,False
2021-07-20_招募项目经理（全职）、内容传播（兼职）丨寻找评估咨询方向的同行者.txt,2021-07-20,2021,7,招募项目经理（全职）、内容传播（兼职）丨寻找评估咨询方向的同行者,2731,评估方法,False
2021-07-20_用一套工作坊产品包，支持公益伙伴在“玩中学”项目方案、建立框架思维丨案例分享（中）.txt,2021-07-20,2021,7,用一套工作坊产品包，支持公益伙伴在“玩中学”项目方案、建立框架思维丨案例分享（中）,3400,评估方法,False
2021-07-20_和盘托出！如何用“游戏化”支持公益伙伴学习逻辑模型 ｜ 案例分享（上）.txt,2021-07-20,2021,7,和盘托出！如何用“游戏化”支持公益伙伴学习逻辑模型 ｜ 案例分享（上）,2894,评估方法,False
2021-08-04_被低估的培训工具：用正向反馈推动学习丨“逻辑模型”产品包案例分享（下）.txt,2021-08-04,2021,8,被低估的培训工具：用正向反馈推动学习丨“逻辑模型”产品包案例分享（下）,4530,评估方法,False
2021-08-31_线上开箱丨“逻辑模型”工作坊产品包里有什么、怎么结合培训使用？周四晚等你来！.txt,2021-08-31,2021,8,线上开箱丨“逻辑模型”工作坊产品包里有什么、怎么结合培训使用？周四晚等你来！,493,评估方法,False
2021-09-14_招募项目经理（全职、实习）、内容运营（全职）丨寻找评估咨询方向的同行者.txt,2021-09-14,2021,9,招募项目经理（全职、实习）、内容运营（全职）丨寻找评估咨询方向的同行者,3193,评估方法,False
2021-10-26_招聘丨行政兼出纳专员.txt,2021-10-26,2021,10,招聘丨行政兼出纳专员,1486,评估方法,False
2022-03-02_2022年招募：全职战略公益咨询分析师、公益项目评估经理、传播与内容运营官员.txt,2022-03-02,2022,3,2022年招募：全职战略公益咨询分析师、公益项目评估经理、传播与内容运营官员,1775,评估方法,False
2022-06-17_YESLIN招聘丨政府条线业务负责人、战略公益咨询分析师.txt,2022-06-17,2022,6,招聘丨政府条线业务负责人、战略公益咨询分析师,2077,评估方法,False
2022-08-16_行业洞察 ｜ 社会力量参与“大健康”的六大路径.txt,2022-08-16,2022,8,行业洞察 ｜ 社会力量参与“大健康”的六大路径,2692,行业洞察,False
2022-08-20_行业洞察 ｜ 对乡村医生群体未来发展的初探.txt,2022-08-20,2022,8,行业洞察 ｜ 对乡村医生群体未来发展的初探,2886,行业洞察,False
2022-09-02_招募：评估咨询类项目经理丨寻找评估咨询方向的同行者.txt,2022-09-02,2022,9,招募：评估咨询类项目经理丨寻找评估咨询方向的同行者,1069,评估方法,False
2022-10-19_益生信 X 北京工业大学 签订校外实践基地啦！.txt,2022-10-19,2022,10, X 北京工业大学 签订校外实践基地啦！,440,其他,False
2022-11-07_招募：新媒体运营专员、实习生.txt,2022-11-07,2022,11,招募：新媒体运营专员、实习生,1280,评估方法,False
2022-11-17_「转」特邀赠票 ｜ 2022斯坦福中国社会创新峰会.txt,2022-11-17,2022,11,「转」特邀赠票 ｜ 2022斯坦福中国社会创新峰会,1136,公益项目,True
2022-11-20_重磅预告｜《社会组织参与留守儿童关爱保护领域扫描及案例研究》报告即将发布.txt,2022-11-20,2022,11,重磅预告｜《社会组织参与留守儿童关爱保护领域扫描及案例研究》报告即将发布,3004,评估方法,False
2022-11-30_招募：新媒体运营专员、实习生.txt,2022-11-30,2022,11,招募：新媒体运营专员、实习生,1280,评估方法,False
2022-12-05_活动报名 ｜ 社会各界力量如何在健康中国行动中实现共享价值？.txt,2022-12-05,2022,12,活动报名 ｜ 社会各界力量如何在健康中国行动中实现共享价值？,1567,行业洞察,False
2022-12-15_中国人口福利基金会邀请您填写“健康中国行动”调研问卷.txt,2022-12-15,2022,12,中国人口福利基金会邀请您填写“健康中国行动”调研问卷,634,政策动态,False
2023-01-14_「转」正式发布 ｜《社会组织参与留守儿童关爱保护领域扫描及案例研究报告》.txt,2023-01-14,2023,1,「转」正式发布 ｜《社会组织参与留守儿童关爱保护领域扫描及案例研究报告》,4734,行业洞察,True
